sid,trial,image,option1,option2,choice_key,choice,rt
sub-007,0,C:\Users\hk4378\Desktop\Stim\save_0.png,press f to select this option,press j to select this option,2,press j to select this option,12.757843300001696
sub-007,1,C:\Users\hk4378\Desktop\Stim\save_11.png,"100% chance to save 11 people, while 1 person will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 11 people, while 1 person will fall",2.311507200000051
sub-007,2,C:\Users\hk4378\Desktop\Stim\save_17.png,"100% chance to save 6 people, while 1 person will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 6 people, while 1 person will fall",2.2711772000002384
sub-007,3,C:\Users\hk4378\Desktop\Stim\save_4.png,"100% chance to save 4 people, while 8 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",3.359945099997276
sub-007,4,C:\Users\hk4378\Desktop\Stim\save_14.png,"100% chance to save 3 people, while 4 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 3 people, while 4 people will fall",4.72360519999711
sub-007,5,C:\Users\hk4378\Desktop\Stim\save_7.png,"100% chance to save 7 people, while 5 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 7 people, while 5 people will fall",1.512990200000786
sub-007,6,C:\Users\hk4378\Desktop\Stim\save_15.png,"100% chance to save 4 people, while 3 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 4 people, while 3 people will fall",3.0120774999995774
sub-007,7,C:\Users\hk4378\Desktop\Stim\save_9.png,"100% chance to save 9 people, while 3 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 9 people, while 3 people will fall",1.0982433999997738
sub-007,8,C:\Users\hk4378\Desktop\Stim\save_13.png,"100% chance to save 2 people, while 5 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",3.65342740000051
sub-007,9,C:\Users\hk4378\Desktop\Stim\save_2.png,"100% chance to save 2 people, while 10 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",2.936258599998837
sub-007,10,C:\Users\hk4378\Desktop\Stim\save_12.png,"100% chance to save 1 person, while 6 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",1.38954890000241
sub-007,11,C:\Users\hk4378\Desktop\Stim\save_1.png,"100% chance to save 1 person, while 11 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",1.2820341999977245
sub-007,12,C:\Users\hk4378\Desktop\Stim\save_16.png,"100% chance to save 5 people, while 2 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 5 people, while 2 people will fall",1.5759636000002502
sub-007,13,C:\Users\hk4378\Desktop\Stim\save_10.png,"100% chance to save 10 people, while 2 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 10 people, while 2 people will fall",0.9302328999983729
sub-007,14,C:\Users\hk4378\Desktop\Stim\save_17.png,"100% chance to save 6 people, while 1 person will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 6 people, while 1 person will fall",0.8485126000014134
sub-007,15,C:\Users\hk4378\Desktop\Stim\save_6.png,"100% chance to save 6 people, while 6 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",7.327195300000312
sub-007,16,C:\Users\hk4378\Desktop\Stim\save_15.png,"100% chance to save 4 people, while 3 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 4 people, while 3 people will fall",3.3719482999986212
sub-007,17,C:\Users\hk4378\Desktop\Stim\save_3.png,"100% chance to save 3 people, while 9 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",9.270188999998936
sub-007,18,C:\Users\hk4378\Desktop\Stim\save_12.png,"100% chance to save 1 person, while 6 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",5.565707499998098
sub-007,19,C:\Users\hk4378\Desktop\Stim\save_5.png,"100% chance to save 5 people, while 7 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",2.9819271999986086
sub-007,20,C:\Users\hk4378\Desktop\Stim\save_14.png,"100% chance to save 3 people, while 4 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",3.923095199999807
sub-007,21,C:\Users\hk4378\Desktop\Stim\save_8.png,"100% chance to save 8 people, while 4 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 8 people, while 4 people will fall",1.5568798999993305
